books,author_name,genre,publish_date
To Kill a Mockingbird,Harper Lee,Fiction,1960
1984,George Orwell,Dystopian,1949
Pride and Prejudice,Jane Austen,Romance,1813
The Great Gatsby,F. Scott Fitzgerald,Classic,1925
The Catcher in the Rye,,Coming-of-Age,1951
Moby Dick,Herman Melville,,1851
The Hobbit,J.R.R. Tolkien,Fantasy,1937
Crime and Punishment,Fyodor Dostoevsky,Philosophical Fiction,1866
Jane Eyre,Charlotte Brontë,Gothic,1847
The Alchemist,Paulo Coelho,Inspirational,1988
The Da Vinci Code,Dan Brown,,2003
Brave New World,Aldous Huxley,Science Fiction,1932
, Louisa May Alcott,,1868
, Emily Brontë,Tragedy,1847
The Book Thief,Markus Zusak,Historical Fiction,2005
Life of Pi,,Adventure,2001
The Road,Cormac McCarthy,,2006
Gone Girl,Gillian Flynn,Psychological Thriller,2012
The Fault in Our Stars,John Green,Young Adult,2012
The Kite Runner,Khaled Hosseini,Drama,2012
Norwegian Wood,Haruki Murakami,,1987
The Shining,Stephen King,Horror,1977
Sapiens,Yuval Noah Harari,Non-fiction,2011
, Tara Westover,, 
The Silent Patient,Alex Michaelides,Thriller,2019
Normal People,Sally Rooney,Contemporary,2018
The Midnight Library,Matt Haig,Fantasy,2020
,,Drama,2012
Shantaram,Gregory David Roberts,Adventure,2003
The Girl on the Train,Paula Hawkins,Mystery,2015
Dune,Frank Herbert,Science Fiction,1965
Beloved,Toni Morrison,Historical Fiction,1987
The Outsiders,Colleen Hoover,Young Adult,1967
The Goldfinch,Colleen Hoover,,2013
It Ends with Us,Colleen Hoover,Romance,2016
