year,full_name,date_of_birth,birth_country,sex,category
2023,Katalin Karikó,1955-01-17,Hungary,female,Physiology or Medicine
2023,Drew Weissman,1959-09-07,USA,male,Physiology or Medicine
2022,Annie Ernaux,1940-09-01,France,female,Literature
2022,Alain Aspect,1947-06-15,France,male,Physics
2022,Carolyn Bertozzi,1966-10-10,USA,female,Chemistry
2021,Abdulrazak Gurnah,1948-12-20,Tanzania,male,Literature
2021,David MacMillan,1968-03-16,UK,male,Chemistry
2021,Benjamin List,1968-01-11,Germany,male,Chemistry
2020,Louise Glück,1943-04-22,USA,female,Literature
2020,Emmanuelle Charpentier,1968-12-11,France,female,Chemistry
2020,Jennifer Doudna,1964-02-19,USA,female,Chemistry
2019,Abhijit Banerjee,1961-02-21,India,male,Economics
2019,Esther Duflo,1972-10-25,France,female,Economics
2019,Peter Handke,1942-12-06,Austria,male,Literature
2018,Donna Strickland,1959-05-27,Canada,female,Physics
2018,Frances Arnold,1956-07-25,USA,female,Chemistry
2017,Kazuo Ishiguro,1954-11-08,Japan,male,Literature
2017,Richard Henderson,1945-07-19,UK,male,Chemistry
2016,Bob Dylan,1941-05-24,USA,male,Literature
2016,Yoshinori Ohsumi,1945-02-09,Japan,male,Physiology or Medicine
2015,Svetlana Alexievich,1948-05-31,Belarus,female,Literature
2015,Arthur B. McDonald,1943-08-29,Canada,male,Physics
2014,Malala Yousafzai,1997-07-12,Pakistan,female,Peace
2014,Isamu Akasaki,1929-01-30,Japan,male,Physics
2013,Alice Munro,1931-07-10,Canada,female,Literature
